moive,sentence,score
민스미트 작전,긴박함은 없는 민스미트 작전,6
벨파스트,케네스 브래너의 &amp;#39;로마&amp;#39;,6
닥터 스트레인지: 대혼돈의 멀티버스,호러감독이 마블영화를 맡으면 어떻게 되는지 보여주는 영화마블팬이지만 이번건 선넘지 않았나 싶음,1
닥터 스트레인지: 대혼돈의 멀티버스,"멀티버스 스토리를 풀어내려면 좀 더 세계관 구축을 단단하게 할 필요가 있었다고 생각된다. 닥스 2 좀 더 재밌게 즐기려면 완다비전 먼저 봐야 한다길래 다 보고 이어서 영화 봤는데도 별로였다.. 마음같아서는 별점 2점짜리 영화라고 상각되지만, 완다비전 드라마는 나름 재밌게 봤기에 6점 준다",6
야차,"식상한 소재. 부족한 개연성, 오글거리는 대화와 연출, 허술한 총질액션은 그만볼때가 되지 않았나?",5
닥터 스트레인지: 대혼돈의 멀티버스,닥터 스트레인지 : 대환장의 멀티버스,7
매그니피센트 7,"각본, 연출이 마~이 아쉽!",4
닥터 스트레인지: 대혼돈의 멀티버스,"매우 재미없습니다.개연성도없고, 연출도별로...좀비, 호러 등 장르가 믹스된건 흥미로웠으나 그뿐이네요",1
이터널스,마블도 갈 때까지 갔구나 하는 생각을 들게 한 영화,3
로스트 시티,기대하고 봤다가 실망했습니다. 하지만 그렇게 나쁘지도 않고그저 그런 보통적인 영화라 생각 됩니다,7
제보자,선동 잘하는 민주당  믿는 깨문이들이 꼭 봐야할 영화 ,6
프라미싱 영 우먼,"피해자가 받은 고통보다, 가해자의 처벌이 현저히 약한 현실로 인해 영화로 대리만족을 느낀다.멋진 정의구현을 위한 캐리멀리건의 고군분투한 모습과 연기력이 멋지다.",7
"파리, 13구",요즘을 사는 사람들의 고민은 세계를 관통하는 지점이 있음,6
어부바,올해의 워스트 무비 후보,2
미드나이트,귀찮아가지고 배민리뷰이벤트도 참여 안하는 사람인데 이영화는 진짜 살면서 제일 최악의 영화라서 한번 써봐요,1
민스미트 작전,콜린 퍼스 제복 입은거 본 걸로 만족,5
카페 벨에포크,프랑스 감성이랑 잘 안맞는 것 같아요 지루합니다,6
닥터 스트레인지: 대혼돈의 멀티버스,베네딕트의 연기는 역시나 만족스러운데 기존과 다른 영화의 분위기는 다소 혼란?,7
경관의 피,영화보다가 승질이 다 나네,2
서울괴담,35년의 인생을 살면서 기억에 남는 영화입니다.  짧은 에피소드 들이 끝나지 않고 계속 나와서 나중에는 쓰러지는 줄 알았어요. 꼭 보세요 꼭 보셔야 합니다. 연인과 헤어지고 싶을때 친구 얼굴 그만 보고 싶을때 꼭 같이 보시거나 추천해주세요. 끝나고 친구가 사과하더라구요   ,2
클레멘타인,?,1
장민호 드라마 최종회,a,1
밥정,w,1
민스미트 작전,잊혀 질수 있는 작은 영웅들에게도 추모를,7
정의심판,"연기,연출 할 것 없이 최악. 학생작품보다 못한 퀄리티",1
모비우스,평점 낮추기용 4점이 적당..,1
사라진 시간,이딴 결말 낼거면 러닝타임이라도 줄이든가..,5
로스트 시티,색깔로 좋은 말을 선택하는 것은 어리석은 것이다,7
닥터 스트레인지: 대혼돈의 멀티버스,이건 마블이 아니다...완전 다른 영화임.. 호러호러호러....,3
서울괴담,마지막 애들 연기가 제일 심각하더라..,1
닥터 스트레인지: 대혼돈의 멀티버스,이제 마블꺼는 기대 안하고 약속 나갔을때나 맘편히 부담없이 보면됨.까는게 아니고 어벤져스가 기대치를 너무높여놨음.,7
닥터 스트레인지: 대혼돈의 멀티버스,두 번째 쿠키영상만 볼만했어요,6
데어데블,솔직히 노잼 123456,5
닥터 스트레인지: 대혼돈의 멀티버스,닥터스트레인지와 스칼렛위치를 가지고 겨우 이 정도의 영화가 나오다니....,4
엄마,한마디로 보지마세요. ,1
활,미화하지 마세요..7시 방향 천사의 섬이 생각나는 역겨운 내용이네요. 그냥 할배가 개쓰레기이고 사이코패스 소시오패스 미친 변태 아동성애자 납치범입니다. 김지석 아니었으면 구출도 안되고 끔찍한 삶을 살았어야 했을듯 ㅠㅠ 특히나 마지막씬이 정말 기괴합니다... 정말 정신세계를 도통 알수가 없는 작품이네요. 한여름양은 부디 별일 없었길 기도해봅니다.,2
배니싱: 미제사건,남여주인공들의 일상이 너무나 부자연스러워 몰입을 할수가 없음,2
닥터 스트레인지: 대혼돈의 멀티버스,감독님 이제 은퇴하시는게...,7
닥터 스트레인지: 대혼돈의 멀티버스,너무 유치했어여...기대 많이 하고 봤는데ㅠㅠ 호러물인줄여,4
민스미트 작전,"사전 지식을 알고 봐야 할듯, 초반부는 조금 지루하기는 합니다",6
닥터 스트레인지: 대혼돈의 멀티버스,갑자기 리듬스타해서 못참고 그만 웃어버림,3
적벽대전 2부 - 최후의 결전,도대체 스토리가 적응이안되서 ㅡㅡ,1
닥터 스트레인지: 대혼돈의 멀티버스,솔직히 재밌긴했다 근데 확실히 진입장벽 높아진건 부인할수없는,7
닥터 스트레인지: 대혼돈의 멀티버스,왜이렇게 자꾸 보는내내 공포물처럼 놀래키고 유치하게 귀신처럼 튀어나오는거지 싶었는데 감독이 공포물 전문 이였어? 하..자기 어필 돌았네 이런 자기위주 각본 진짜 짜증남 마블영화를 망쳐놨음 스토리는 유치한데 소소한 위트도 없고 시종일관 쓸때없이 진지하고 대사도 유치하고 저급해서 잠이옴..마블보다 눈감긴적 처음,4
닥터 스트레인지: 대혼돈의 멀티버스,닥터 스트레인지 2 찍으랬더니 이블데드 4 찍어놨네. ,6
엄마,우리 엄마 할머니가 봐도 재미 없을 이야기,3
어부바,우울해서 감동적인 따뜻한 영화 보려고혼자 봤는데 다행히 우울은 사라졌어요대신 분노를 얻어가지고 왔네여..하..내돈..,1
어부바,지금 당장 OCN에서 광고없이 공짜로 틀어줘도 안볼껍니다.,1
닥터 스트레인지: 대혼돈의 멀티버스,상업적으로 돈은 벌어야하니 자꾸 어거지로스토리 쥐어짜서 만들어내는 거 같다  점점 산으로 가는건지..,6
신비한 동물들과 덤블도어의 비밀,중국풍나는 재단에서 정이 훅 떨어졌어요,4
닥터 스트레인지: 대혼돈의 멀티버스,완다...너무 불쌍해...역시 나를 위로하는 건 나뿐이야.,4
닥터 스트레인지: 대혼돈의 멀티버스,닥터 스트레인지가 아니라 스칼렛 위치로 이름 바꿔야 함 큰 기대 없이 보면 볼 만하지만 기존 마블 팬들에게는 다소 실망스러움...,7
닥터 스트레인지: 대혼돈의 멀티버스,제목은 닥스인데 왜 완다가 주인공 같지? 잘 참고 보다가 음표 싸움할 때 뛰쳐나갈 뻔! 완다비전 보고 가야 아는 만큼 더 보일 듯~ 그나저나 난 완다가 느무 느무 무서웠어!! ㅠㅠ 무슨 좀비인 줄~ 호러 영화야 뭐야.. 첫번째 쿠키에 샤를리즈 테론 존예! 두번째 쿠키는 안 보고 나와도 무방함^^,6
닥터 스트레인지: 대혼돈의 멀티버스,기대한것보다 기대이하너무 기대하고보진마세요,4
닥터 스트레인지: 대혼돈의 멀티버스,이젠 마블은 기계적으로 볼뿐,6
나를 만나는 길,기대와는 좀 다른 느낌의 영화였습니다. asmr이 많아서 잠이 아주 잘 옵니다. 그럼에도 불구하고 이 영화보다 더 푹잔 영화도 있었다는거 ... ,7
우연과 상상,일상에서 겪을 수 있는 우연에 비이성적인 상상을 곁들인 영화.연출은 우리가 가진 이성과 비이성적 가치관을 계속 부딪히게 한다.결국 이성적 가치관에 의해 이상하다라고 생각되긴 하는데 꽤 실험적인 작품이라고 생각된다.촬영장소도 손가락에 꼽을 정도로 적고 원테이크 대사씬이 많은 저예산 무비지만 대사 전개가 흥미로워서 집중도는 괜찮은편. 오락영화나 일반적인 멜로물을 좋아하는 사람에게는 추천하지 않고 감독의 의도를 해석하는 재미로 볼 관객에게 추천함.,6
닥터 스트레인지: 대혼돈의 멀티버스,부제 그대로 대혼돈의 멀티버스 였음원래 마블 만화 원작이 이런거면 할말이 없지만내용이 난해해서 나까지 대혼돈이 일어남..,7
배드 가이즈,뻔하지만 무난하게 즐길 수 있는...,6
앰뷸런스,계속 잘 알지도 못하는 여자만 편드는 동생...마지막에도 그러니 전혀 공감 안감,4
닥터 스트레인지: 대혼돈의 멀티버스,본격적인 마블의 하락세가 시작되었구나,1
공조,머리 비우고 보면 볼만함. 머리 안비우면 보기 힘듬. 만화영화 느낌. 유해진 현빈 팬은 볼만한듯.,7
신비한 동물들과 덤블도어의 비밀,덤블도어의 비밀은 없었다... ,2
최종병기 활,활을든 조선시대 람보.,7
엄마,너무 너무 화가 난다. 산드라 오 피벨 스튜어트 둘다 좋아하는 배우인데 마음이 아픔 오리엔탈리즘의 정수임.. 기분 진짜 나쁘다,1
배니싱: 미제사건,빈틈많은 스토리에 연계성도 없는 씬들의연속  좋은배우들의 재능낭비 ,4
닥터 스트레인지: 대혼돈의 멀티버스,더럽게 재미없음 돈도 아깝고 시간도 아깝다 중간에 졸려서 잠들뻔했는데 갑툭튀때메 자지도못함,2
스텔라,몇번 웃음을 주는 장면이 있지만 타율이 적어서 보는동안 아쉽다.  허성태씨 이젠 물이 올랐는지 악당역이 멋있었다.,4
닥터 스트레인지: 대혼돈의 멀티버스,"엔드게임까지가 마블의 전성기였고, 이제 떨어질 일만 남은건지",4
"파리, 13구",답안나와오는 인물들 넘 힘들었어요,7
닥터 스트레인지: 대혼돈의 멀티버스,완다 급발진... 드라마 안봤더니 알수가 없네ㅠㅠ,6
앵커,이혜영 배우의 국어책 읽기 연기가 귀에 거슬리다 보니 초반부 몰입감이 떨어져 긴강감을 가질 수 없었다.,3
어부바,극장가기 꺼려지게 만드는 영화가 이런게 아닐까,5
닥터 스트레인지: 대혼돈의 멀티버스,"좀 많이,, 실망스러웟습니다.",2
닥터 스트레인지: 대혼돈의 멀티버스,진짜 대 혼돈이엿음 솔직히 기대많이햇는대 기대만큼은 아님..  조금 지루한감도잇고 여태봐온 마블의 명성에는 조금 못미치는듯,6
봄날,믿고 보는 손연주의 연기,7
더 배드 배치,아니 그래서 결말이 그냥 식인사냥하면서 살겠다는거여 머여 역대급 망작이네 이거 별점 자체를 논하는게 어이가 없을뿐 ,4
리허설,포르노 연극단?유럽에로영화의 설정을 어설프게 1990년대 코리아에 이식. 박영선 속옷이 시대를 앞서갔다능..,3
닥터 스트레인지: 대혼돈의 멀티버스,"1. 기존의 마블영화를 기대한다면 실망하게 될 것. 히어로물보다는 B급 공포영화가 더 가깝다. 드래그 미 투 헬 느낌. 2. 배우들 연기는 너무 출중하다. 배우들이 연기로 유치한 연출을 극복해냄. 3. 공포적인 연출은 뛰어남. 쓸데없이 잔인한 부분이 있음. 굳이 그렇게 B급 공포영화 느낌을 냈어야 했는지 납득이 안 됨. 4. 좀 유치하다는 생각이 영화보는 중간중간 떠올랐다. 예를 들어 배우가 카메라를 응시하는 연출이라든가, 장면이 넘어갈 때 배우 얼굴로 원이 좁혀지는 연출이라든가. 샘스파에서 느껴지던 만화적 연출이 떠올랐고, 영화가 진지하지 않다고 느껴짐. ",3
킹메이커,"명과암의 능숙한 연출이 인상적. 설경구, 이선균, 조우진의 연기는 말할 것도 없음.",7
닥터 스트레인지: 대혼돈의 멀티버스,음표 날리는게 너무 유치해 ㅠㅠ..근데 완다에 대한 감정이입은 너무 돼서..스토리는 어느정도 깔끔하게 끝난거같음,7
중천,비주얼은 합격,5
닥터 스트레인지: 대혼돈의 멀티버스,닥스 영화를 보러 갔는데 알고보니 그냥 호러영화.이걸 한번 더 보자고 하면 고민 좀 될듯,7
도둑들,이걸로 훔칠수 있겠어?,5
추격자,절대적 악을 마주하는 불안한 사람들,7
극장판 엉덩이 탐정: 수플레 섬의 비밀,애들은 좋아하고 러닝타임 짧아서 잘 버텼음,7
서울괴담,감상포인트 클릭할게 없는건 처음팬들이 보기엔 괜찮으니 연기자 팬들은 보고 아니면 그냥 백스텝,7
닥터 스트레인지: 대혼돈의 멀티버스,스토리 좋음. 끝.,7
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,시빨 뭔 영화하나보는데 보고와야 되는게 이렇게 많냐 이게 맞냐?,1
민스미트 작전,긴장감을 주기엔 조금 부족했다,6
퍼펙트맨,언터쳐블 애매하게 따라한 것 같은 느낌재미도 없고 감동도 억지.. 평점이 너무 후하네요.. ,1
더 배트맨,영화 더배트맨 패틴슨 주연,7
닥터 스트레인지: 대혼돈의 멀티버스,"연출(음악, 액션, 무대) 모두 다 최악..연기력으로 머리채 끌고 가는 영화",2
민스미트 작전,은밀하게 이루어진 작전이라 그런가 주인공의 감정 외에는 큰 파도 없이 잔잔하게 흘러갑니다. 우리는 몰랐지만 이러이러한 사건들이 당시 전쟁에 큰 영향을끼쳤다. 하는 정보를 익히게 될 뿐 영화적 임팩트는 없네요.,7
허셀프,주인공을 응원하지만 주변에 저리 착한사람만 있을수가 있는지.,7
아들의 이름으로,안성기의 실없는 연기. 이정국의 하품나는 연출. 실망스런 노장들.,2
민스미트 작전,하나만 잘했으면 좋았을텐데,3
엄마,평점 10점 준 알바들아 사기 치니까  재밌어? 나만 죽을 수 없다는거냐?,2
닥터 스트레인지: 대혼돈의 멀티버스,중국자본 투입된 영화인가?갑자기 전작에 비해완전 유치뽕작 느낌,2
퀸카로 살아남는 법,권력이 쥐어졌을때 포기할줄도 알아야하는법.인정할줄도 알아야하는법.이 모든 것들을 이뤄내기 위한 용기는 어마어마할것이다.,7
내안의 그놈,비현실적이라면 현실속에서도 납득갈만한 무언가가 있어야한다.하지만 이건 너무..밑도 끝도 없지않은가?,2
닥터 스트레인지: 대혼돈의 멀티버스,닥터 스트레인지 : 대환장의 멀티버스,7
"나는 내일, 어제의 너와 만난다",한번볼때보다 두번볼때가 더 값진 영화.이런 시간물은 두번이상 보게된다.,7
스파이더맨: 노 웨이 홈,스토리도 너무 산만하고... 톰 홀랜드는 너무 발암...한마디로 &amp;#34;친구들이랑 대학 떨어졌다고 세계를 망치는 톰 홀랜드의 이야기&amp;#34; 입니다.영화가 전체적으로... 너무 대화가 많다? 고 해야되나... 너무 산만한 느낌이에요Far from home 은 매우 재밌게 봤었는데 아쉽습니다.,1
장르만 로맨스,도대체 무슨 영화인지 알 수가 없음. 내용이 중구난방..,2
신비한 동물들과 덤블도어의 비밀,gay였다는거만 비밀인 수준,4
닥터 스트레인지: 대혼돈의 멀티버스,진짜 이따구로 망작 만드는거 보고 감탄함,2
닥터 스트레인지: 대혼돈의 멀티버스,완다가 시작해서 완다가 끝내는  영화,4
로스트 시티,저 캐스팅에 지루하게 만든 미학,6
소리도 없이,별점10점주는것들 뭐지..ㅜ,1
매트릭스: 리저렉션,헐리우드식의 억지속편,2
26년,용서 받을 기회를 ‘영원히’ 박탈된 전두환. 사면 받을땐 옳다쿠나 좋았지? 기회를 줘도 사과 안할 놈이란건 알고 있었어. 네 놈은 역사 속에 추잡한 괴물로 영원히 기억될 것. ,7
이상한 나라의 수학자,후반부 클리세 폭탄에 폭소하면서봤다 ㅋㅋ,4
닥터 스트레인지: 대혼돈의 멀티버스,공간과 장르의 경계를 슈프림한 솜씨로 인커전 없이 넘나든다,7
마터스: 천국을 보는 눈,주제를 잊게 만드는 과도하고 역겨운 연출. 굳이 이렇게 만들었어야 했나 싶다. ,6
연애 빠진 로맨스,대사 전달력이…자막 있이 봐야될거 같아요,6
동경 이야기,혼자인 며느리의 명대사. 인생을 보여주는 영화,6
민스미트 작전,작전진행보다 주연 셋의 관계가 더 눈에 띄었습니다 ,7
스파이더맨: 노 웨이 홈,스파이더맨을 싫어하는이유 저렇게 항상 좃대로하는 성격,2
해적: 도깨비 깃발,한효주 강하늘 다 좋은데 영화는 ..아니네요.. 드라마만 하시길 ㅠㅠ ,6
족구왕,단순하지만 기대이상 나름 볼만했음,7
마스크,욕 씨바 머리 빈거 골프로 쓴다니 개새끼,1
닥터 스트레인지: 대혼돈의 멀티버스,원이랑 원이라고 하긴 그렇지만수준차이 너무 난다...너무 유치해 중간중간 웃기긴하지만 ㅠㅠ왜 이렇게 원이랑 차이나는지ㅜ아시는분...?,6
강릉,"지역 사투리만 다르고 다 똑같은 이야기,, 뭐 깡패이야기라고 특별할게 있나 싶지만..",1
로스트 시티,유치한 말빨에 기댄 소심한 액션,5
봄날,"감동도 없고, 내용도 없고...",2
언차티드,아주 영화 개판이네;;;,2
앵커,"시작부터 이미 결론이 난 스토리에 메시지가 들어갈리 만무 한고,,퍼즐 맞추기에 급급....",1
신비한 동물들과 덤블도어의 비밀,박수칠 때 떠나라 영화보는 내내 느껴짐 스토리도 엉성해지고 감독이 어떻게든 시간만 맞추려고 애쓰는 느낌이 장면이 왜 나와야 하는지 관객이 의문을 가지지 못하고 해소도 안됨,1
B컷,연기력들 봐라 ㅋㅋㅋ 저기 나오는 기존 배우들도 모조리 손절 해야될판 ,1
닥터 스트레인지: 대혼돈의 멀티버스,1점도 아깝다 ㄹㅇㅋㅋ,1
니 부모 얼굴이 보고 싶다,어른들에게 생각해볼거리를 던져주는 드라마. 어른들은 과연 학생들의 목소리에 귀 기울이고 있는가.,6
로스트 시티,"이도 저도 아닌 어중간함,, 딱 이 느낌",3
늑대들,와...이 ㅆㅂ 이런진짜뭐같은.네이버아이디휴먼인데찿아서글쓴다.진짜뭐이런 ㄱㅆㄹㄱ같은걸영화라고소개글써놓은거보고낚여서..와..진짜머리털나고이런 ㅆㄹㄱ 는진짜첨인듯.장난하나.돈아깝고시간아깝고...해도해도넘하네.평점?완전ㅆㄹㄱ영화.아니영화라고하기에도창피한듯.절대..절대..다른분들낚이지마셈.시간남아돌아서진짜지루해죽겠어도이건보지마셈.욕나옴.보다3번껐다.혹시나해서끝까지봤는데..이건진짜심하다.,2
민스미트 작전,흥미진진하네요 영화는 역시 영화관에서..,6
민스미트 작전,연기력도 좋고 재미있게 봤어요,6
악의 연대기,배우들이 아깝다 스토리 억지스럽네 예초에 손현주 택시 몰던 범죄 놈하고 112에 신고 해서 정당방위로 끝나면 될것을 겁나 스토리를 억지스럽게 끌고 가네,1
더 배트맨,이때까지 배트맨과도 다르다 그냥 액션이조금 허접하고 배트맨이 참고로 일반인보다 조금 싸움달하는정도.. ,6
닥터 스트레인지: 대혼돈의 멀티버스,"스토리, 개연성은  상상 속에 애새끼 찾겠다고 온 우주를 쑥대밥을 만들질 않나 그리고 완다 슈퍼파워가 현실 왜곡이면 그냥 말한마디로 다 숨 못쉬게 해서 죽이면 되는 걸 왜 애먹이면서 힘자랑하는지 할 정도로 졷박았구요~연출은 유명배우들 모아놓고 유치원 학예회 수준이구요~액션도 중국 삼류 무협영화보다 떨어지구요~OST도 쓸데없이 웅장하고 시끄럽기만 하구요~CG 떡칠만 해놨는데 마블 네임벨류 때문에개돼지들은 좋다고 또 보자고 하네요~저도 이런 개돼지들만을 위한 영화나 만들어볼까 합니다돈 많이 벌겠죠??",1
모비우스,생각보다 재밌었고 독특했음. 그리고 떡밥이 많아 어떻게 회수될지 기대됨. 시니스터 식스 멤버도 궁금하고 여러모로 다음편이 기대된다.,7
닥터 스트레인지: 대혼돈의 멀티버스,"그러니까 지금 이따위 영화를 보고 샘레이미의 호러가 잘 스며들었니 어쩌니 하고 있다는 거임??? 아니, 이 양반들아 일단 기본적으로 영화가 재미있어야지 그딴 소린 그 다음에나 하는 게 상식 아니냐? 영화 속 등장인물들이 지들끼리만 쑥덕쑥덕 신나서 떠들고 관객들은 강건너 불구경 중인데 호러가 백날 잘 스며들었으면 뭐할 건데? 언제부터 닥터 스트레인지가 호러영화 매니아들 욕구충족 시켜주는 장이었냐? 심지어 앞에 나온 디즈니+ 드라마 전부 보고 봤는데도 재미가 없었다는 점에서 크나큰 충격을 먹었다..실망을 금할 수가 없다..",1
야차,그냥 반일선동 플러스 삼성비슷한 이미지의 절대악(?)까기.,1
앵커,"공포도 스릴러도 아닌, 3류 분위기 물씬나는, 잘못된 연출의 예",4
피어 스트리트 파트 3: 1666,감독이 처음부터 3편을 짜놓고 만든것처럼 1.2.3 이어지는 전계가 개연성이 너무 좋지만 근데 1.3편 너무 레즈 위주여서 보기 불편한감도 있다 주인공을 굳이 레즈로 하고 마지막 엔딩까지 레즈비언으로 할필요가 있었나? ,7
신비한 동물들과 덤블도어의 비밀,이 영화를 안자고 끝까지 본 내가 대단,1
닥터 스트레인지: 대혼돈의 멀티버스,"볼만함. CG는 뭐 명불허전, 스토리는 그냥 쏘쏘",7
조선명탐정: 각시투구꽃의 비밀,미친놈이라니 말 무슨 OO 겁나 빡치네 ㅆㄱ그리고 암살자 너무 못생김 어린놈의 새끼라니 OO 미친놈?ㅆㅂㄱ,1
닥터 스트레인지: 대혼돈의 멀티버스,어벤져스 스타일을 기대하고 봐서 별로였음;;,1
목격자,싸이코 연쇄살인마 보다 주인공 더 죽이고 싶어지는 영화.보다 그것이 알고싶다보다 더 빡쳐서 껐다 주인공 때문에,2
목격자,싸이코 연쇄살인마 보다 주인공 더 죽이고 싶어지는 영화.보다 그것이 알고싶다보다 더 빡쳐서 껐다 주인공 때문에,2
손님,이준은 왜자꾸 영화를 찍는건지.. 그리고 이성민 배우님 항상 찍는영화마다 스토리가 형편없네요.. 배우로써 운이정말 없는거 같아요 이준은 영화좀 그만 꽂아넣으세요 럭키도 개짜증났음 ,1
신비한 동물들과 덤블도어의 비밀,해리포터 팬이기에 의리로 봤지만... 잘 모르겠습니다. 조엔K롤링 작가님... 이제 그만 하시고 해리포터 시리즈 팬심을 지켜 주세요.,5
닥터 스트레인지: 대혼돈의 멀티버스,내가 지금 공포영화를 본건가..?,7
닥터 스트레인지: 대혼돈의 멀티버스,스트레인지1 이 부끄러울정도 그냥 저급의 공포영화 기대는 최고의실망,2
닥터 스트레인지: 대혼돈의 멀티버스,마블옷을 입고있지만 그 속은 좀비영화 같달까... 이제 마블 시리즈 안챙겨볼꺼같다.. 싶었음..,6
베놈 2: 렛 데어 비 카니지,"톰 하디가 베놈인지, 베놈이 톰 하디인지 헷갈릴정도로 잘 만들어진 캐릭터가 이번 후속작에서는 확실히 분리된다. 하지만, 둘의 케미가 유지된다는 점에서 아직까지는 흥미롭다.",7
더 큐어,본격 퇴사영화. 셔터 아일랜드보다 좀 더 적극적인.,7
퍼블릭 에너미,결말이 아쉬웠고 전개가 매끄럽지 못하여 관객들이 쉽게 스토리를 따라가기 어렵다고 느껴졌다.,6
뷰티 인사이드,처음 감상평을 써 보는데 보고 나서 여러가지 생각들이 들었어요 이런 생각들이 기분을 망쳐요 영화가 좋은 건지 안 좋은 건지 모르겠어요 ,6
문폴,짱스럽다,1
닥터 스트레인지: 대혼돈의 멀티버스,결국에는 순리에 따르라는 이야기.,6
민스미트 작전,"007에 등장한 거의 모든 것에 대한 레퍼런스. 우리가 지금 보는 첩보물이라는 장르가 생겨나게 된 실제 사건, 그 원형, 소설보다 극적인 관계 속 드라마.",7
닥터 스트레인지: 대혼돈의 멀티버스,공포스럽고 고어한 연출이 거북해요,1
닥터 스트레인지: 대혼돈의 멀티버스,볼거리는 많았으나 그냥 진짜 대혼돈이었음 읭?하는 장면도 많았고 지들끼리 와랄랄랄랄ㄹ라 하다 끝남 대혼돈 그 자체,6
장난스런 키스,장난스런 키스는 대만판 드라마가 최고인데... 왜 영화까지 만든 거냐? 장즈슈... 진짜 뻣뻣하다. 로봇이냐? 안 어울려.,5
프리키 데스데이,제 인생에 가장 감명깊게 본 영화입니다. 이런 정신나간 전개는 처음이네요. 많이 배우고 갑니다,1
소리도 없이,"범죄를 다루려고 하면 제대로 다루던지 아니면, 극적인 재미를 주던지 이것도 저것도 아니어서 아쉽다.",6
프리키 데스데이,개쌉노잼 누가 8점줬을까요,2
컨택트,진짜 재미없네 뭔 내용인지 시간 아깝다,1
닥터 스트레인지: 대혼돈의 멀티버스,&amp;#34;그랜드 피아노 vs 하프&amp;#34; 의 신명나는 한판 명승부우리가 모르는 다른 멀티버스에서는 베토벤이 슈퍼히어로다! 염력이냐 눈알이냐 그것이 문제로다!,2
로스트 시티,영화가 질질 늘어지며 언제 시작하는듯 싶더니 끝나네 지겹다,2
닥터 스트레인지: 대혼돈의 멀티버스,완다 최애인 사람은 걍... 슬퍼서 죽고 싶었음 .... 완다비전 드라마 보고 안보고에 따라서 영화볼때 이해도랑 몰입도가 확 달라질ㄹ듯..,7
모비우스,----알바컷팅선----,1
인간중독,조여정 전혜진이 아까운 영화. 차라리 조여정 전혜진 둘의 밀애였다면 더 파격적이고 관능적이었을것 같다,6
닥터 스트레인지: 대혼돈의 멀티버스,지금까지의 떡밥은 잊어라!  관련없다! 구성은 단순하고 대사는 유치하며 히어로 물인지 장르 애매하고..  닥스 특유의 차도남 유머도 어디론가 사라졌다!  원치 않는 일본 오마주가 난무하고 기대했던 닥스의 전투신도 없다!  영웅들은 힘없이 소모되고 단지 영상미와 연기력으로 버틴 어정쩡한 영화!  감독이 이전 영화 이해도 부족 또는 과다하게 이것 저것 섞으려다 희한한 영화가 한편 탄생!  애썼다만 실망이다! ,4
미션,"멘도자의 속죄는 가히 인상적이나, 나머지는 후반부는 글쎼... 대중들은 미션을 감명깊게 봤다고 말하면 교양있는 사람이라고 생각하고 재미없었다고 생각하면 그 사람을 평가절하하는 경향이 있는 것 같다. 집단화된 가치판단을 남에게 강요하지 말자. 이 영화는 지금 봤을 때 스토리적으로 엉성하다. 영화 전반에 걸쳐서 등장하는 원주민이 악기를 다루는 장면은 조금 더 심층적으로 관객에게 보여줬어야 한다. 그런 엉성한 부분을 엔리오 모리꼬네의 오보에의 멜로디로 덮어버렸다. 그만큼 그의 음악이 대단한 것이지만, 이는 스토리의 허점을 반증한다고 볼 수 있다. 2013년의 사람들은 매우 기독교적이라서, 반기독교적인 생각을 표출하면 탄압하는 경향이 있는 것 같다. 다른 이의 생각을 받아들이지 못하고 일방적인 비난만 가한다면, 이 영화에서 포탄으로 원주민의 살가죽을 무참히 찢어버리는 군인들과 다를 것이 무엇인가?",6
닥터 스트레인지: 대혼돈의 멀티버스,ㅠㅠㅠㅠ 마블..아쉬워요,6
문폴,이제 공식 나왔으니 암기할것… 중국자본 + 에머리히 = 개망작 ,1
신비한 동물들과 덤블도어의 비밀,매자미켈슨도 갠찮지만 역시나 조니뎁의 카리스마와 신비감은 대체불가,6
닥터 스트레인지: 대혼돈의 멀티버스,ㅠㅠ 난 무슨 호러영화인줄 알았어요!!! 혼자가서 봤는데 무서워서 혼났네유,6
건파우더 밀크셰이크,존윅의 딱 70% 수준. ,7
크로스 더 라인,선 넘네...영화가,6
닥터 스트레인지: 대혼돈의 멀티버스,"닥스1, 인피니티워 수준의 마법연출 기대는 하지마세요... 솔직하게 대규모 마법 액션을 많이 기대하고 관람 했었는데 많이 실망했었습니다",6
잭 인 더 박스,그것의 페니랑 붙으면 누가 이길까?씨리즈로 나온다면 설마 프레디VS제이슨처럼 페니와 타이틀매치?잭과 페니의 타이틀매치를 허하라,5
블랙 크랩,우리나라가 영화를 얼마나 잘 만드는지 느낄수 있게해주는 값진 두시간..,1
더 컨트랙터,뭘 하든 사람답게 살자.,7
