movie,sentence,score
배드 가이즈,너무 재밌어서 두번 봤어요 ㅋㅋㅋ 동물들 매력있구요. 빵빵 터지는 포인트 많아요. 어린이랑 보기도 유해하지 않고 괜찮아요 추천추천,7
스위니 토드: 어느 잔혹한 이발사 이야기,다 보고 나니까 그냥 뭐지..?싶음초반부터 내용 다 예상되고... 음그리고 너무 잔인함,6
해피 투게더,여운이 미치게 남는 최고의 영화.. 이렇게 영화 장면 하나하나가 잔상에 오래 남는 영화는 처음이다 그리고 영화 장면마다 깔리는 노래들이 어쩜 이렇게 영화랑 잘어울리는지.. 장국영과 양조위의 명품 연기.. 진짜 최고 그리고 이렇게라도 장국영의 연기와 모습을 볼 수 있어서 영광입니다 ,10
안테벨룸,대박이네요.. 와~생각도 못했음,10
모비우스,2000년대 초반에나 먹힐만한 올드한 플롯과 전개 때문에 스토리가 어떻게 흘러갈지 너무 뻔함.. 심지어 이전 스파이더맨 작품이나 베놈에서 다 써먹었던 소재;; 이렇게해서 세계관을 어떻게 구축한다는건지,6
송 포 유,처음부터 끝까지 감동적인 영화                    *강추*,10
아포칼립토,어떤 영화인지 전혀 모른상태에서 있는그대로 봤습니다실화 다큐멘터리인지 영화인지 진심으로 헷갈렸습니다잔인한 장면은 많습니다이런 예술작품 볼 수있게 만들어 주셔서 감사합니다 ,10
배드 가이즈,"재밌어요 혼영하기도 좋고, 친구랑 가볍게 보기도 좋고, 자식분들이랑 같이 보기에도 좋고, 부모님이랑 가볍게 힐링할 용도로 봐도  좋을듯요 ㅎㅎ",10
아저씨,"티비에서 나오면 십중팔구 봅니다.. 근데 말입니다.. 장기 털린 소미엄마 시체는 그대로 보여주면서, 담배랑 욕설은 걸러낸다..? 이게 무슨 웃긴 검열이옄ㅋㅋㅋ",10
이웃사람,굉장히 잘 만든 작품인데 평점이 낮네요 8.5는 나와야 할 작품 같아요,10
민스미트 작전,"전쟁첩보물인데 전투장면 거의 없음, 긴장감 느껴지는 스토리 적음. 그냥 이런 일이 있었다는 재연드라마 같음. 그래서 지루한 감이 많이 있음",7
뜨거운 피,아.. 아쉽다. 시나리오... 연출... 청불로 확실히 갔어야 했는데...,6
토이 스토리 4,장난감의 정체성을 누구보다도 잘 아는 우디.주인의 마음을 기쁘게 하기 위해 애쓰는 우디를 볼 때마다 눈물이 나네요. 장난감 주제에 날 울리다니 ㅜㅜ,9
아메리칸 패스토럴,"사상, 신념에 매몰되면 인간이 얼마나 무서워지는지?! 그런데도 계속 반복되는 비극의 역사가 슬프다. 광기의 원인은 어디에서 찾을 수 있을까? 복잡하고 복합적인 인간 군상이 만들어내는 처참함에서 희생자는 모두가 아닐까?! 가해자는 자신의 죄를 죽는 순간까지도 모를 것이다. ",10
데드캠핑 더라이브,스토리가 거칠고 짜임새가 헐겁지만 고군분투하는 여주인공의 연기가 영화를 살린다,6
데드캠핑 더라이브,평점 7.8 이건 아닌거같다. 3점이하가 맞는거 같음,1
닥터 스트레인지: 대혼돈의 멀티버스,좋아요♤간만에 재밌게봤어요,10
닥터 스트레인지: 대혼돈의 멀티버스,오늘 또 보구왔어요3번째예요~~^^,10
드라이브 마이 카,상실의 슬픔을 이겨나가는 과정을 섬세하고 서정적으로 너무나 잘 그려냈다. ,10
니 부모 얼굴이 보고 싶다,일류호텔 주방장들 모아놓고 겨우 짜장면 한그릇 만들어낸 느낌. 냉정한 현실을 꼬집는 시도는 좋으나 중반이후 깔아놓은 내용을 쌓아올리는 과정과 마무리가 너무나 아쉬움. 배우들의 열연만 눈에띄나 그마저도 빛이바랜다.,5
루이스 웨인: 사랑을 그린 고양이 화가,넘 좋았어요,8
스펜서,영화 색감이 너무 이쁘고 크리스틴 스튜어트의 연기도 멋있었어요!!,10
먹고 기도하고 사랑하라,내 삶과 주체성에 대해 고민하던 순간 깨달음과 마음의 평온을 가져다준 영화 ,10
앵커,걍 그랬어요...,5
닥터 스트레인지: 대혼돈의 멀티버스,제목이 왜 대혼돈의 멀티버스인지 알겠네요진짜 대혼돈입니다!,8
이웃집 토토로,옛날에봣던영화엄마가되고나서보니 눈물이납니다,10
닥터 스트레인지: 대혼돈의 멀티버스,볼만해요,7
해적: 도깨비 깃발,이정도면 그래픽도 액션도 훌륭하고 괜찮은 영환데 평점이 너무 야박하네.,8
덩케르크,훌륭한 연출과 의미 가득한 영화. 재미는 그 다음. ,8
접속,"사람 애간장 태우면서 흘러나오는 OST상처받은 사랑을, 만남의 설레임으로 풀어버리는 연출에 박수를.마지막 OST에 행복한 미소를 머금는다~",10
나를 만나는 길,최상의 간접경험____,10
더 배트맨,무겁게 짖누르는 내적 갈등,5
미 마이셀프 앤드 아이린,"이때는 너무 재미있어서 최고의 코미디영화라 생각했는데 20년이 훌쩍 지나고 보니, 그때의 감성이 아니구나.... 그래도 그때의 르네는 너무나도 이쁘다~",7
퍼펙트 케어,"감동이있고그런영화는아니고 재밌어요.흔치않은 소재고 연출도좋았네요. 시간가는줄 모르고본영화. 드라마,액션 다있네요~",8
전설의 주먹,아... 이요원.. ㅋㅋ,6
관능의 법칙,나이들고 보니 조금 웃기네요,7
"조제, 호랑이 그리고 물고기들","끝이 뻔한 사랑이지만, 시작조차 하지 않았다면.. 조제는 좁은곳에 갇혀 살았겠지. 우리의 호랑이와 수족관의 물고기들처럼 ... 수족관의 휴관이 그토록 아쉬운 건, 다시 올 수 없다는 걸 알고 있기에... 결국 이별이 코앞으로 다가온 걸 알고 있기에...",9
전설의 주먹,클래맨타인의 아류작. 클래맨타인 따라오려면 멀었음,1
신비한 동물들과 덤블도어의 비밀,신과함께 가지언즈 오브 겔럭시,1
아이 엠 러브,"섹시하고 우아한 연출 연기의 최면술, 꽃망울을 터트리는 카타르시스 라스트 씬",9
악인전,끝짱!와우~!!꼭 보세요.,10
닥터 스트레인지: 대혼돈의 멀티버스,기대이하지만 재밌게봤음,8
닥터 스트레인지: 대혼돈의 멀티버스,말이 필요없다 대단하다,1
닥터 스트레인지: 대혼돈의 멀티버스,재밌게 봤습니다. 호불호가 갈리수 있습니다,8
조디악,실화가 아닌 영화로 마무리지었으면 더 좋았을 것 같다..,7
바람의 파이터,"지금보면, 조금 유치해 보이지만  당시에  영화본 급식들  최배달 따라하고 다녔음재미있겠 봤던기억이",10
닥터 스트레인지: 대혼돈의 멀티버스,너무 재미없어서  일행과 함께 보다가 나옴..,2
아포칼립토,너무 잘 만들었네요 멜깁슨 휼륭합니다,10
닥터 스트레인지: 대혼돈의 멀티버스,드라마도 봤지만 스토리는 생각보다 별로 완다가 너무 흑화돼서 적응이 안되네요 그래도 어벤져스 맴버였는데 서서히 변해가는 모습을 보여줬음 좋았을텐데 너무 급변 글구 언제나 그랬든 마지막은 반성 ;; ,8
실버턴 포위 작전,넬슨 만델라 운동의 시발점이라는 실화에 5점. 연기가 좀 과하거나 어색하고 특히 테라 여자는 뜬금포 급발진.. 테라 코인 같은 여자.,5
새,이거보고 나 완전히 새됬어,3
조선명탐정: 각시투구꽃의 비밀,코믹사극으로  훌륭함,9
투사부일체,이게 왜 5점이냐? 말이안돼는데,10
요가학원:죽음의쿤달리니,커플누드요가만 볼만하더이다,1
데스트랩,카메라 ㅅㅂ..겁나 멀미남,1
서울괴담,Cg 보니깐 레지던트 이블에 좀비생각남괴물이랄까 ㅋ ,1
소설가의 영화,너무 좋다,9
강남 1970,왜 종대는 느닷없이 기차를 타고 총을 맞아야 했는가.,2
불도저에 탄 소녀,김혜윤의 연기는 수준급 . . . 스토리는 현실상 너무 괴리가 떨어지는 영화 . . .   독립영화치고는 꽤 잘 만들었다고 볼 수 밖에 . .,7
닥터 스트레인지: 대혼돈의 멀티버스,공포는 좋은시도라고 보는데진짜 왤케 유치한거야SNL인줄 알았네그냥 완다 솔로영화를 내주지아 너무 돈 아깝고 화가나네,4
B컷,ㅠㅠ 진짜 너무합니다. 평점보고 결제 했는데 엄청난 ...끝까지 보기 민망해요,2
뜨거운 피,보고나면 남는것도 없는 모자란 깡패 영화,2
검은 사제들,박소담 연기 진짜 소름끼치는...  모립해서 봤네요...,8
서울괴담,아이  10R 밥 잘 쳐먹고 쓰레기 애들 데리고 뭣하고 자빠졌냐,1
수퍼 소닉,짐 캐리의 연기 . . .정말 그에 맞는 옷을 입은 안성맞춤 . . . 역시 이런 연기가 어울려 . .,8
B컷,이걸 만점 준 사람들 다 나같은마음,10
닥터 스트레인지: 대혼돈의 멀티버스,보는 재미가 쏠쏠했습니다,9
데드캠핑 더라이브,꼭 보세요 인생 top3 명작입니다!,10
정글 크루즈,기대에 많이 못미치네,6
이웃사촌,정우 배우님 너무좋아합니다 영화도 감동적이고  나쁜피도 재밌게 봤고 최곱니다,10
신비한 동물들과 덤블도어의 비밀,내가 슬슬 나이를 먹어서 재미가 없는건지 원래 이영화가 스토리도 엉성하고 재미도 없는건지...,4
로스트 시티,피식하는 개그 코드는 있고 재미는 음따,5
이웃사촌,이런영화가 대가리 깨지게 만든다,1
닥터 스트레인지: 대혼돈의 멀티버스,갑자기 좀비로 나오는거 좀 이상 마지막 유령변신 닥터스트레인지 분장 어설픔,6
닥터 스트레인지: 대혼돈의 멀티버스,완다..연기 너무 잘하고 다양한 멀티버스 영상미bb완다 행복하자,10
닥터 스트레인지: 대혼돈의 멀티버스,"진짜 제목하나 잘 지었음. 말 그대로 대혼돈이었는데,연출이라던지 스토리라든지 구성이 너무 좋았음! 꼭봐! 두 번봐!! ",10
쉬즈 더 원,대사가 재치있다. 그걸 소화해 내는 남자배우도 크~ 실제 나이차이가 19살이라니 -0-,8
스텔라,쏘나타가 단종된 이유를 잘 보여주는 영화....더이상 재료가 없다 국산영화는,1
앵커,연기말고 볼게없다. 너무 억지스럽고 결말도 별로고 지루하고 재미없다. 천우희는 작품선택하는 눈이 좀 부족한거같다.,3
신비한 동물들과 덤블도어의 비밀,진짜 감성있게 잘 봤어요 ^^해리포터에서 듣던 OST가 나온 순간 옛날 기분이 들어서무척이나 좋았고 도중에 웃기는 씬도 있어서 너무 재미있었어요~~제4편도 기대할께요*,10
앰뷸런스,막 엄청재밌지는 않는데 그냥 한번 정도 아무생각없이 볼만함.,6
청춘,이렇게 청춘은 혼돈속에 가버린다.,6
허니,전형적인 일본 하이틴 로코물. 오글거리는장면 다소 많음. 그래도 이런영화는 늘 해피엔딩이어서 맘놓고 흐뭇하게 볼수있다. 또 순수하고 아름다운 청춘은 짧다라는걸 항상 느끼게 해줌. 히라노쇼팬이라 오글거리고 지루해도 참으며 봤음.,4
봄날,굳이 볼필요는 없는 영화,3
닥터 스트레인지: 대혼돈의 멀티버스,"완다비전은 꼭 보고 보세요~! 호불호는 있겠지만, 색다른 느낌의 마블이라 굿굿",10
이혼하지 않은 여자,고두심이 이런역할 어울릴까 하고 생각했는데 막상 보니 잘뽑은거 같다,8
앵커,너무 빤하고 평범하다,6
에어로너츠,세상을 바꾸는건 열망을 가진 인간의 도전,7
데드캠핑 더라이브,"저예산 영화지만 스토리, 연기자들의 연기도 좋았음. 꽤볼만하고 여주인공 액션도 좋아요 . 이시영- &amp;#39;언니&amp;#39; 보다 잼나게 봤네요 . 우리사회에 던지는 메시지가 있는 영화입니다. 간만에 강추하는 한국영화입니다.",9
해변의 에트랑제,내 돈 내 시간 너무 아까웠음. 왜 아무도 게이의 사랑 얘기라고 말해주지 않은건지.. ,2
앵커,스토리가 그냥 노이해 정말 진심으로 노이해,2
닥터 스트레인지: 대혼돈의 멀티버스,완다눈나 광기 연기 ㅆㅅㅌㅊ,10
우연과 상상,1번은 하마구치2번은 하루키3번은 로메르+하마구치,8
페니 핀처,프랑스판 말 많은 미스터빈. ,7
인싸,딴거는 그렇다치고 크레딧에 작은염마 서영은 뭐냐? 크레딧에 오타나는 건 첨보네 ;;,2
닥터 스트레인지: 대혼돈의 멀티버스,너무 재밌어서 또 보러갑니다,9
만춘,오즈 야스지로 거장.,8
니 부모 얼굴이 보고 싶다,감독의 전작보단 볼만하다.,5
우연과 상상,말 한마디로 천냥빛 갚는다,7
그렘린,"내 기억의 첫 공포영화 ! 귀여운 모과이가 징그러운 괴물이 되다니, 놀라웠다.",10
하이힐,생각이 많아지고 여운이 오래가는 영화,10
닥터 스트레인지: 대혼돈의 멀티버스,장르적 상상력이 넘쳐흐르지만 각본은 미흡하다.,7
앰뷸런스,개연성도 없고 스릴도 없고시간 아까운 영화 0점을 주고 싶다,1
동경 이야기,가족이야기는 70년전이나 지금이나,10
데드캠핑 더라이브,와.. 오바되는 연기 및 이상한 연출 그리고 어설픈 cg....분리수거도 안되는 영화,1
서울괴담,"생각보다 자연스러운 CG와 속도감, 몇몇 작품은 창의성/연기성이 뛰어남",10
O2,몰입도가 빨려 들어간다 전혀 지루하지 않고 거대하고 웅장했다,10
봄날,진짜 주조연들 연기 잘한다....정석용 주정뱅이 연기 진짜 최고~~장지 씬은 정말 ....포복절도 할뻔...웃으면 안되는 장면인데....,8
쿠스코? 쿠스코!,추억 가득.. 초딩때 영어학원에서 중간에 보여주다 말아서 20년동안 결말을 모르다가 2022년에 와이프랑 같이 봄...,10
닥터 스트레인지: 대혼돈의 멀티버스,역대급으로 재밋는듯 유치한부분도 있는데 공포영화 감독이였던만큼 스릴도 좋앗음 ㅋㅋ,10
모비우스,베놈보다 좋은데. 마블에서 나쁜 배트맨 만들기 한것같은 느낌. 그래도 영상은 봐줄만 했고. 좀 신박했음. X맨이 그립네. 신박덩어리들 이었는데,8
닥터 스트레인지: 대혼돈의 멀티버스,완다가 멱살캐리함.. 일단 눈이 재미있었고..너무 재밌었음 다시 보고싶음,10
닥터 스트레인지: 대혼돈의 멀티버스,아는만큼 보인다. 샘레이미 전작들의 패러디와 완다비전을 이어주는 내용들이 즐비해서 아는만큼 즐거운 영화.,8
우연과 상상,인물 간의 긴 호흡 속에 묘한 끌림이 있다.,8
타임캅,그당시 타임루프물 + 액션물로 반담의 영화중 최고작중 하나..,8
불한당: 나쁜 놈들의 세상,저는 별로.. 잔인하기만 하고. 몰입이 잘 안 되네요.,4
서울괴담,"뭐야, 이 밑도 끝도 없는 스토리는!!!끝까지 볼것인가, 말것인가???",4
아사코,분명 뭔가 있는데 도저히 모르겠다. 내게는 어려운 영화다. 히가시데 마사히로와 카라타 에리카는 정말 잘생겼고 예쁘다. 둘이 바람날 만하다.,8
데어 윌 비 블러드,그 누구도 믿지 못하는 삶은 얼마나 척박하고 메말랐는가,7
이미테이션 게임,컴퓨터공학자 인생 영화,10
뜨거운 피,"이정도면 상당히 좋은 영화.부산사투리 익숙한 배우들이여서 더 좋았지만, 김갑수의 어색한 사투리가 옥의티였음.",8
데드캠핑 더라이브,데드캠프 비스무리한 영화인지 알았는데 이 F급 폐기물은 뭐꼬 너흰 누구냐ㄷㄷ....,1
쉰들러 리스트,죽기전에 꼭 봐야될 영화,10
닥터 스트레인지: 대혼돈의 멀티버스,근데 마지막에 좀 지루했씀,8
봄날,양희는 올해 한국영화 최고의 캐릭터임. ,8
경관의 피,"정말 수사물을 좋아하는데, 이런 영화가 평가를 잘 받아야 다음에 또 좋은 영화가 만들어질텐데...  안타깝다, 독전이나 경관의 피 같은 감각적인 느와르풍 수사물이 계속 나왔으면 좋겠다. 이 영화도 해외 어떤 사이트에서 언급됐었다고 하면 비밀의숲 때처럼 다들 우르르 몰려오겠지... 난 겁나 재밌게 봤는데 7점도 안되다니... 신세계, 범죄와의 전쟁이라면 아주 극찬들을 하면서, 아 이건 정말 뭔가 잘못됐다",10
스텔라,최고 옛생각이 많이 나네요,10
스파이더맨: 노 웨이 홈,그저 스파이더맨들을 한 영화에서 볼 수 있었다는거에 행복했습니다.,10
뮤지컬 킹키부츠 라이브,그래 한번 해봐! 모드였는데 노래며 쇼며 너무 신나고 멋있었다.,9
닥터 스트레인지: 대혼돈의 멀티버스,몇개빼고 볼만 했음,10
분노의 질주: 더 얼티메이트,진짜 정도껏 해야지 이게 공상sf영화냐,1
더 바디,재미있게 잘 봄 흥미진진합니다,10
닥터 스트레인지: 대혼돈의 멀티버스,좀비 스트레인지 망토 개간지,10
닥터 스트레인지: 대혼돈의 멀티버스,좀비 스트레인지 망토 개간지,10
닥터 스트레인지: 대혼돈의 멀티버스,완다 넘나 찌통..ㅠㅠ,8
어부바,왜 나에게 이런 시련을 주십니까!!! 영화 중 주인공인 12살 노마가 한 말입니다.... 영화보는 내내 제 마음입니다....,2
7번방의 선물,애 없으면 못 느끼는 감동을 영화 보고 주변 아이들 보며 동화 할만큼 요즘 영화에서 못 느끼는 감동을 받았습니다 물론 배우자 분들 연기가 좋았겠지만 글쎄요 저는 만족했습니다 추천해드려서 본 분들 다 평이 좋았습니다 좋은 연기로 보는 이에게 감동 줄 수 있었기에 7번 방의 선물은 좋은 영화라고 생각합니다,10
세븐틴 파워 오브 러브 : 더 무비,진짜 세븐틴 공연 잘한다는 생각밖에 안드는.... 평캐 다짐,10
내안의 그놈,"박성웅과 진영, 두 배우 모두 연기 너무너무 장난 아닙니닿ㅎ",10
가버나움,자인이의 담담한 연기가 슬픔을 더 극대화한다... ,10
닥터 스트레인지: 대혼돈의 멀티버스,평점 낮게준것들은 그냥 개나소나임 이번영화는 마블빠 아닌것들 거르는 영화임 평점에 낚이지 말자,10
베놈 2: 렛 데어 비 카니지,인내는 쓰나 그 쿠키는 달다.,2
초속5센티미터,첫사랑을 하기도 전에 첫사랑이란 이런걸까 감정을 느끼게 해준 영화..고3 때 처음 보고 일주일 동안 후유증에서 벗어나질 못했었는데 10년이 넘게 지난 지금 다시 봐도 여전히 가슴 한 쪽이 먹먹함 남자들의 첫사랑을 정말 잘 표현한 영화인 듯 ,10
배드 가이즈,재밌고 인상깊었다.. .,10
닥터 스트레인지: 대혼돈의 멀티버스,전 완다비전 보고 나서 봐서 그런지 연결이 되서 너무 재밌었어요. 볼거리 많고 믿고 보는 닥터 스트레인지!,10
신세계,이게 왜 9점 밑이냐?? 별하나 준놈들은 중국애들인듯… 뭐하나 빠지는게 없는 영화임,10
레일웨이 맨,"웃기는 영화네 ㅋ저게 용서가 된다고? 사죄를 한다고? 걍 할복했으면 수긍했을듯 전범쓰레기들에게 면죄부나 주는 영화,미화 개쩌는 영화,영국말고 우리나라에 제대로 된 사죄나 하시지 ",1
닥터 스트레인지,2편보기전에 보라구해서 봄ㅎㅎ짱짱잼!! ,10
블랙 크랩,액션씬은 조금 부족하지만 빙판 씬들은 나름 신선하고 볼만했다..,6
카페 벨에포크,자기연민을 포장해 봤자지,2
가장 보통의 연애,현실적이면서도 현실적이지 않은 연기..? 알 수 없는 감정선..? 재밌고 독특한 영화 ,10
킬러들의 수다,인생영화중 한편. 극 중 햄릿은 잊을 수 없는 장면,10
신비한 동물들과 덤블도어의 비밀,별로입니다 재미없어요,3
신세계,"몰입될만한 재미의 스토리와 배우들의 연기, ost까지 어우러진 볼만함",9
모노노케 히메,"산이랑 아시타카 외 뽀뽀 않헤.,?",10
닥터 스트레인지: 대혼돈의 멀티버스,"스토리는 딱 마블다웠고 이번에도 cg팀이 열일 하네, 올슨이 진짜 캐릭터 잘 살렸다점점 세계관 넓어지는데 어떻게 살릴지 기대되네",8
닥터 스트레인지: 대혼돈의 멀티버스,두번째 쿠키 영상이 감격 스러웠습니다,10
달마야 놀자,지금 다시 봐도 지루하지않고 재밌다,10
저스트 프렌드,내가 좋아하는 예쁜 여배우들이 나와서 넘 좋았고 재밌었다..♡,10
봄날,오랜만에 본 쓰레기 영화...,1
앵커,남자친구가 캐스팅 보고 재밌을 줄 알고 예매했어요전 예고편 보고 음... 그래 보고 싶어 하니까 보자 하고 봤어요....재미없어서 의미... 음... 솔직히 어떤 걸 말하려는 건지 보이긴 하는데....아니에요...연기는 잘해요 아 연기만 잘...응...네...,3
셰터드,보는내내 열받으면서 재밌게 봤네요,8
니 부모 얼굴이 보고 싶다,학교폭력의 탈을 쓴 학원 스릴러물이라 부르고 싶다. 설경구 연기력 정도만 볼만 했음. ,7
로슈포르의 숙녀들,"&amp;lt;쉘부르의 우산&amp;gt;에 이은 또 하나의 끝내주는 뮤지컬. &amp;lt;쉘부르의 우산&amp;gt;의 사랑이 현실적이었다면, 여기선 지극히 낭만적이다. 자크 드미의 미장센은 명불허전.",10
달마야 놀자,말이 필요없음 최고..!,10
니 부모 얼굴이 보고 싶다,영등포롯시] 상투적으로 흘러가지 않아 영화적 재미가 크다. 인물 간 갈등 관계도 균형 잡혀있어 유치하게 느껴지지 않았다.배우들 연기나 캐릭터도 잘 살린 거 같다. 촬영지 배경도 좋았다. 다만 소재가 즐겁지 않고 먹다 체한 기분이다. ,8
스파이더맨: 노 웨이 홈,피터 원 ! 피터 튜 ! 피터 쓰릐!,10
닥터 스트레인지: 대혼돈의 멀티버스,호러물인줄 ㅜㅜㅜㅜ 시간은 금방 가더라고요..,7
닥터 스트레인지: 대혼돈의 멀티버스,별거 다 나와서 재밌었다. 보고 싶은 장면은 감독이 다 때려넣음,8
어부바,아이들이 귀엽게 나오고 주요 연기자분들은 역시 연기를 잘하십니다가볍게 보기 좋은 영화입니다 ㅎㅎ ,10
어벤져스: 에이지 오브 울트론,이런 유형의 빌런 뻔한 클리셰긴 하지만 비전이라는 캐릭터가 영화의 신선함을 줬다고 생각한다..,8
엄마,배우 연기는 살아있고 분위기는 괜찮은데.... 쩝 비쥬얼을 반종 피산다나쿤이 담당을 했었다면 어땠을까,3
아이언맨 2,많이 아쉬웠다.. 워머신은 특징 없는 캐릭터일뿐이라 느꼈고 빌런은 정말 별거 없는 악당일뿐.. 해머사 대표는 그냥 반전없는 머저리에 불과. 어떤것도 매력적으로 와닿는게 없었다.,5
앵커,연기는 좋았던 거 같은데...여기 저기서 본듯한 짜깁기 스토리....연출도.. 너무 별로인듯... ,2
앤트맨,재미 짜임새 너무 좋았고 편안하게 웃으면서 즐길수 있는 영화였습니다. 앤트맨 진짜 매력적인 캐릭터 ㅋㅋㅋ,10
인터내셔널,ㅡㅡ;,1
머니볼,말이 필요없는 명작 영화 실화바탕,10
닥터 스트레인지: 대혼돈의 멀티버스,"이 영화는 100만원짜리 요리와 같습니다. 99만 9천원으로 소고기, 양념치킨, 케이크, 홍어를 사서 시급 천원 쉐프한테 시켜서 만든 꿀꿀이죽 말이죠. 캐릭터 너프가 너무 심하고 개연성이란 개연성은 싹다 버려 역대 마블 영화 중 제일 쓰레기입니다. 그리고 간절히 부탁컨데 진짜 눈 썩는 옛날 연출 좀 안했음 좋겠습니다. 지금이 무슨 1995년이냐고!!!! ",2
서울괴담,처음부터 끝까지 다 봤는데도 불구하고 무슨 영화인지 모르겠음... 공포 영화 아예 못보는 사람들에게는 무서울 수 있으나 적당히 보는 사람에게는 애매한 공포 근데 일단 얼굴들은 대유잼,5
극장판 주술회전 0,박감독님 연출이나 성우들 연기 대박!!!! 진짜 3번 보러갔는데 3번 다 꿀잼이었습니다.,10
데드캠핑 더라이브,"아주 매우 통쾌 합니다~!  원래 잔인한 걸 못보는데,  이건 뭔가 잔인한 느낌보단 통쾌하고 속이 시원합니다, 체증이 다 풀리네요, 이시영의 언니는 새발에 피 입니다,ㅎㅎ ",10
닥터 스트레인지: 대혼돈의 멀티버스,완다 개 멋잇다. 겁나 섹시하다!,10
민스미트 작전,잔잔하게 흘러가지만 지루하지않게 스토리가 흘러가서 재밌게봤어요. 다만 시간은 조금만 줄여도 됬을거같아요,6
예스 맨,현실성은 없지만 왠지 나에게 필요했던 영화 인것 같다,10
닥터 스트레인지: 대혼돈의 멀티버스,정말 재밌게 봤네요. 역시 마블...,9
닥터 스트레인지: 대혼돈의 멀티버스,짱재밌는데 누가 재미없다고 한건지….,10
크라잉 게임,사람이 사람을 사랑한다는것은...,8
샹치와 텐 링즈의 전설,노잼.... 개노잼 시간너무아깝습니다 내용자체가그냥 좀...ㅎㅎ ,1
이상한 나라의 수학자,수포자에게 위로가 되는 영화. 파이송도 멋지다.,10
"파리, 13구","자유롭고 물흐르듯 흘러가는, 외부자들이 만들어내는 서사, 지역",7
연애 빠진 로맨스,가벼움속에서 깊어지는 감정선이 좋았어요!배우들도 너무 좋아요!,10
미스 리틀 선샤인,약간 병맛같으면서 묘하게 빠져들고 마지막에 빅재미를 주는 영화. 보는내내 지루하지 않아요.,10
닥터 스트레인지: 대혼돈의 멀티버스,잼나게 봤어요~~3편도 기대기대해요,10
달마야 놀자,너무너무 재밌게 봤어요ㅎㅎ,10
문폴,"지짜 재난영화 매니안데 스토리 진짜 진부,,이거저거 다 섞어놔서너무 잡스러운 영화였오요.강도추격씬이 제일 별로 뜬금",1
닥터 스트레인지: 대혼돈의 멀티버스,재밌았어요 볼만해요,9
닥터 스트레인지: 대혼돈의 멀티버스,음..ㅂ.ㅂ.ㅂ 제목 그대로네요,4
아메리칸 지골로,ㅎㅎ 리첟.기어 넘 좋아요,10
달마야 놀자,정말웃김ㅋ 모든연기자들이 연기도 잘하고 특히 김수로 개웃김ㅋ 인도는 아니다!!!,10
닥터 스트레인지: 대혼돈의 멀티버스,오늘 봤응그냥초딩수준임액션 스토리 등등 그냥초등스러웠음돈아까움,4
닥터 스트레인지: 대혼돈의 멀티버스,이전 마블이랑 다르게 공포적인 요소가 있긴 한데 재밌었음 마블 호불호갈리는 건 어쩔 수 없는 것 같음 ,10
닥터 스트레인지: 대혼돈의 멀티버스,황혼에서 새벽까지 보는줄 하..,6
닥터 스트레인지: 대혼돈의 멀티버스,호불호가 갈릴 수 밖에 없는 영화... 샘 레이미 감독의 영화를 보고 어떤 스타일인지 잘 파악하면 보는데 큰 문제가 없다고 생각함,6
닥터 스트레인지: 대혼돈의 멀티버스,이 영화를 본 제가 10점을 받아야 할 것 같은데 도저히 양심상 이 영화에 10점 못주겠음,6
사랑하기 때문에,아는 배우가 많이나와 오히려 볼입도가 떨어지네요 마지막장면 죽은걸로 마무리 했으면 더 좋았을텐데요,8
어부바,온 가족이 함께보는 가족영화,9
닥터 스트레인지: 대혼돈의 멀티버스,나름 볼만 합니다. 유튜브에서 너무 기대치를 올리는 바람에 힘빠지는 부분이 조금 있었지만,9
닥터 스트레인지: 대혼돈의 멀티버스,마블이 관객을 모독하기 시작했다.,6
말리그넌트,낚였네..졸다가 다봤는데 예상을 빗나가지 않은 반전??땜에 재미없었음..평범하게 끝남!컨져링보다 잼없네^^,6
가버나움,어른들의 세상 이치와 아이의 세상 이치는 다르다. 그리고 영화가 끝나고나서는 아이가 보는 세상이 맞다는걸 가슴으로는 느낀다. 현실과는 별개로..,10
스플라이스,대학교2학년때 친구랑 손잡고 영화봄...ㅋㅋㅋㅋ  소름끼치고 충격적이라 서른넘은 지금도 스토리가 뇌리에 박혀있음ㅠㅠㅠ 그땐 마냥 역겹다 생각했는데 오래 지난 지금까지도 기억나게 하는것도 실력인가... 혼란스러워짐 ㅋㅋㅋㅋ ,6
닥터 스트레인지: 대혼돈의 멀티버스,마블 유니버스 아니었으면 안 봤을 영화.인제 마블이란 이름만 따고 별 지랄 맞은 영상으로 이거저거 가져다 붙이면서 억지로 뭔가 있는 척하눈거 완전 짜증남. 보실 분들은 공포 영화 보러 간다 생각하고 가세요.싸구려 공포 영화 컨셉은 제대로 잡았네,2
